,%,^2,^g,^h,^q,aa,aap_am,ad,ar,arp_nd,b,b^m,ba,bd,bf,bh,bk,br,fa,fc,"fo_o_fw_""_by_bc",fp,ft,h,na,ng,nn,no,ny,oo_co_cc,qh,qo,qrr,qw,qw^d,qy,qy^d,sd,sv,t1,t3,x
b,1,30,18,9,37,41,12,2,28,25,31,34,0,16,13,27,35,10,20,24,5,21,40,26,36,39,19,32,15,38,3,7,17,14,29,33,8,22,23,11,4,6
b^m,6,32,24,37,15,4,38,16,9,39,1,23,28,40,13,33,0,18,29,34,27,31,17,19,10,36,2,8,12,22,3,35,30,11,41,25,26,5,7,14,21,20
ba,2,18,35,30,23,27,37,16,24,39,4,38,0,7,25,28,41,32,3,15,8,20,9,19,12,40,36,22,31,34,1,26,14,21,17,11,10,5,29,6,13,33
bd,15,30,22,18,11,41,28,38,37,16,10,2,12,21,20,27,4,36,25,9,23,13,33,29,40,26,35,17,6,24,5,39,34,19,3,8,14,7,32,1,0,31
bf,22,13,23,25,6,10,9,39,12,34,41,1,14,18,0,21,26,3,31,24,20,8,30,40,17,35,38,16,29,11,19,2,28,36,33,32,7,5,27,15,37,4
bh,1,0,12,21,32,27,35,29,8,33,16,41,3,11,19,14,39,20,36,34,22,15,38,2,9,40,26,18,5,4,24,30,17,31,13,37,10,25,23,6,7,28
bk,26,39,38,27,8,15,3,29,23,2,25,4,13,36,21,0,9,31,40,19,6,32,28,7,41,1,24,33,18,30,16,10,12,37,35,14,11,22,34,5,20,17
br,16,40,1,35,30,19,36,22,6,7,4,15,5,34,3,32,21,9,37,13,11,28,33,2,39,14,27,24,25,18,38,26,20,0,23,12,17,31,8,41,10,29
fa,7,36,39,29,22,27,21,23,26,33,35,15,18,14,9,32,3,34,0,12,2,17,28,41,38,16,20,8,6,11,25,4,40,24,37,5,13,31,30,19,1,10
fc,20,32,33,3,35,39,18,25,16,24,38,22,37,2,10,13,14,27,17,0,7,36,21,26,4,28,19,30,41,23,31,34,6,11,15,29,8,40,9,1,12,5
"fo_o_fw_""_by_bc",26,20,12,34,40,36,38,27,15,31,30,11,6,9,29,41,24,8,0,18,10,14,28,16,4,22,23,39,37,21,17,19,32,25,35,3,7,2,13,33,5,1
fp,6,1,3,23,26,9,34,29,33,13,21,37,32,8,40,36,10,27,18,16,11,0,20,17,31,24,5,25,38,39,28,4,22,19,14,30,7,15,12,35,2,41
ft,41,35,5,31,30,40,18,21,12,26,33,15,39,27,13,4,16,22,19,28,0,38,2,32,1,11,23,9,6,14,17,37,24,3,25,29,7,36,10,34,8,20
h,15,33,13,31,36,22,16,34,9,23,27,40,28,32,19,3,26,1,7,39,2,30,24,4,29,18,41,14,12,38,6,25,8,17,20,11,10,21,0,35,37,5
na,24,36,34,9,30,40,27,23,14,19,32,16,2,28,22,7,6,33,35,13,3,31,38,8,0,37,15,41,21,12,39,11,5,29,20,18,1,17,26,25,4,10
ng,33,15,12,35,22,41,38,31,5,19,24,9,11,23,16,14,0,28,17,6,37,8,10,21,30,18,29,34,32,7,3,4,25,13,2,26,36,27,39,40,20,1
nn,35,7,10,27,13,18,22,2,41,25,37,11,1,12,31,3,4,38,20,8,39,19,29,28,40,0,16,30,21,17,6,15,36,32,33,34,26,14,23,5,24,9
no,35,27,36,24,29,12,3,17,18,16,14,22,26,30,40,23,9,5,28,21,38,20,37,8,39,15,32,0,34,2,11,33,6,4,31,25,19,13,10,1,7,41
ny,19,35,1,12,15,41,34,17,36,39,18,0,10,14,13,24,8,33,6,40,30,11,31,23,25,26,32,7,16,9,38,3,37,22,5,28,2,27,21,4,29,20
oo_co_cc,18,29,34,20,4,8,26,3,36,15,24,27,9,30,10,1,37,22,13,40,21,11,25,14,33,6,38,16,41,23,28,39,12,2,7,0,32,19,31,35,17,5
qh,27,8,39,41,30,21,7,17,15,36,2,37,35,6,25,18,33,3,10,9,12,28,5,24,19,22,26,34,14,13,0,32,31,38,29,23,40,11,16,4,20,1
qo,36,33,18,10,28,22,8,5,38,17,31,14,39,21,23,12,3,6,35,7,20,37,30,29,41,25,32,34,40,13,4,15,24,26,11,1,27,0,2,19,9,16
qrr,27,30,28,41,16,23,40,3,26,5,1,35,29,21,7,31,6,9,8,32,22,0,18,12,24,15,11,34,4,38,20,37,33,17,13,39,19,10,36,25,14,2
qw,26,11,5,10,18,8,28,17,12,32,30,15,33,37,24,9,4,23,14,39,7,29,22,1,41,31,38,16,40,36,21,25,3,20,13,2,19,0,6,27,34,35
qw^d,37,32,28,17,31,18,29,3,24,8,9,30,39,34,20,38,15,22,5,35,2,4,23,25,14,16,19,0,27,41,6,1,26,40,11,13,7,33,10,21,12,36
qy,15,21,6,8,23,37,29,18,7,3,27,41,33,20,38,30,17,2,35,40,9,39,25,10,0,1,11,16,19,24,28,14,5,31,32,22,12,36,13,4,34,26
qy^d,33,34,30,17,41,19,7,24,25,11,36,14,40,31,21,32,10,20,28,38,8,37,27,6,3,22,18,29,0,2,35,5,1,26,4,15,9,23,39,12,16,13
sd,25,7,26,36,29,37,13,32,4,41,3,24,6,19,2,20,5,10,27,14,31,33,22,12,28,40,17,38,21,30,11,23,39,0,34,8,16,1,18,15,35,9
sv,24,6,5,31,34,18,3,8,11,36,14,20,27,19,16,25,28,12,26,30,4,21,1,7,39,23,40,15,41,13,17,2,37,29,35,33,38,10,9,0,32,22
t1,0,31,39,33,41,19,16,2,4,5,34,14,27,24,7,23,40,37,13,3,25,36,6,18,12,29,38,30,20,17,11,1,9,8,22,21,35,26,28,10,15,32
t3,8,24,1,2,4,28,19,6,3,23,38,17,33,31,9,36,18,16,21,39,41,5,26,35,37,40,13,7,27,14,34,30,12,22,11,32,29,15,10,25,20,0
x,34,27,26,14,9,40,16,0,29,39,17,35,13,4,24,5,41,33,10,18,20,8,1,19,30,12,15,31,38,6,21,32,36,3,22,28,2,11,25,23,7,37
